id,nombre,precio,stock,bodega,vendidos
183,Caterpillar Royale,,,,
184,Cave Story+,,,,
185,Caveblazers,,,,
186,Caveman Warriors,,,,
187,Cel Damage,,,,
188,Celeste,,,,
189,The Charming Empire,,,,
190,Chess Ultra,,,,
191,Chicken Assassin: Reloaded,,,,
192,Chicken Range,,,,
193,Chiki-Chiki Boxy Racers,,,,
194,Child of Light,,,,
195,Children of Morta,,,,
196,Chocobo’s Mystery Dungeon Every Buddy!,,,,
197,ChromaGun,,,,
198,Cinders,,,,
199,Cities: Skylines,,,,
200,City of Brass,,,,
201,Civilization VI,,,,
202,Claws of Furry,,,,
203,Claybook,,,,
204,Clouds & Sheep 2,,,,
205,Clue: The Classic Mystery Game,,,,
206,ClusterPuck99,,,,
207,Code of Princess EX,,,,
208,Coffin Dodgers,,,,
209,The Coma: Recut,,,,
210,Conga Master Party!,,,,
211,Constructor Plus,,,,
212,Contra Anniversary Collection,,,,
213,"Cook, Serve, Delicious! 2",,,,
214,Cosmic Star Heroine,,,,
215,The Count Lucanor,,,,
216,Crash Bandicoot N. Sane Trilogy,,,,
217,Crash Team Racing Nitro Fueled,,,,
218,Crawl,,,,
219,Crayola Scoot,,,,
220,Creature in the Well,,,,
221,Croixleur Sigma,,,,
222,Crossing Souls,,,,
223,Crypt of the NecroDancer,,,,
224,Crystal Crisis,,,,
225,Cuphead,,,,
226,Cursed Castilla,,,,
227,Cytus Alpha,,,,
228,D/Generation HD,,,,
229,Daemon X Machina,,,,
230,Daggerhood,,,,
231,Damascus Gear: Operation Tokyo,,,,
232,Dandara,,,,
233,Danger Mouse: The Danger Games,,,,
234,Danmaku Unlimited 3,,,,
235,Dark Souls: Remastered,,,,
236,Dark Witch Music Episode: Rudymical,,,,
237,Darkest Dungeon,,,,
238,The Darkside Detective,,,,
239,Darksiders: Warmastered Edition,,,,
240,Dawn of the Breakers,,,,
241,De Blob,,,,
242,De Blob 2,,,,
243,De Mambo,,,,
244,Dead Cells,,,,
245,Dead by Daylight,,,,
246,Dead Synchronicity: Tomorrow Comes Today,,,,
247,Death Mark,,,,
248,Death Road to Canada,,,,
249,Death Squared,,,,
250,Debris Infinity,,,,
251,Deemo,,,,
252,Deep Ones,,,,
253,The Deer God,,,,
254,Defense Grid 2,,,,
255,Defunct,,,,
256,Deltarune,,,,
257,Demetrios: The Big Cynical Adventure,,,,
258,The Demon Crystal,,,,
259,Deru: The Art of Cooperation,,,,
260,Desert Child,,,,
261,Detective Gallo,,,,
262,Detention,,,,
263,Devil Engine,,,,
264,Devious Dungeon,,,,
265,Diablo III: Eternal Collection,,,,
266,Dimension Drive,,,,
267,Disc Jam,,,,
268,Disease: Hidden Object,,,,
269,Disgaea 1 Complete,,,,
270,Disgaea 5 Complete,,,,
271,Disney Tsum Tsum Festival,,,,
272,"Don't Die, Mr. Robot! DX",,,,
273,Don't Knock Twice,,,,
274,Don't Starve,,,,
275,Donkey Kong Country: Tropical Freeze,,,,
276,Donut County,,,,
277,Doom,,,,
278,Doom & Destiny,,,,
279,Double Cross,,,,
280,Double Dragon IV,,,,
281,Double Kick Heroes,,,,
282,Doughlings: Arcade,,,,
283,Downwell,,,,
284,DragoDino,,,,
285,Dragon Ball FighterZ,,,,
286,Dragon Ball Xenoverse 2,,,,
287,Dragon Marked for Death,,,,
288,Dragon Quest XI,,,,
289,Dragon Quest Builders,,,,
290,Dragon Quest Builders 2,,,,
291,Dragon Sinker: Descendents of Legend,,,,
292,DragonFangZ: The Rose & Dungeon of Time,,,,
293,Dragon's Dogma: Dark Arisen,,,,
294,Draw a Stickman: Epic 2,,,,
